i:97,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: ('Al', 'ECEC')
i:98,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: ()
i:99,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: Carbon
i:100,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: Al
i:101,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: ECEC
i:102,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: ('Carbon', 'Al')
i:103,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: ('Carbon', 'ECEC')
i:104,	 t1-t2: 34-38,	 link control: False,	 match depth: False,	 other obs: ('Al', 'ECEC')
i:105,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: ()
i:106,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: Carbon
i:107,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: Al
i:108,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: ECEC
i:109,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: ('Carbon', 'Al')
i:110,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: ('Carbon', 'ECEC')
i:111,	 t1-t2: 34-38,	 link control: True,	 match depth: False,	 other obs: ('Al', 'ECEC')
